"period","searchVolume"
"2019-10","279600"
"2019-11","926800"
"2019-12","489000"
"2020-01","146400"
"2020-02","58500"
"2020-03","24600"
"2020-04","51900"
"2020-05","11800"
"2020-06","10400"
"2020-07","20200"
"2020-08","43700"
"2020-09","101000"
"2020-10","291300"
"2020-11","643900"
"2020-12","549600"
"2021-01","255100"
"2021-02","43000"
"2021-03","13400"
"2021-04","5360"
"2021-05","6280"
"2021-06","7540"
"2021-07","15400"
"2021-08","40300"
"2021-09","55700"
"2021-10","285800"
"2021-11","578600"
"2021-12","632800"
"2022-01","266600"
"2022-02","96000"
"2022-03","22100"
"2022-04","7820"
"2022-05","10100"
"2022-06","13100"
"2022-07","18500"
"2022-08","38700"
"2022-09","52400"
