"period","searchVolume"
"2019-10","529800"
"2019-11","595800"
"2019-12","598600"
"2020-01","633800"
"2020-02","553300"
"2020-03","535800"
"2020-04","398400"
"2020-05","313500"
"2020-06","187100"
"2020-07","175000"
"2020-08","162400"
"2020-09","246200"
"2020-10","344400"
"2020-11","338300"
"2020-12","318500"
"2021-01","381300"
"2021-02","405800"
"2021-03","372200"
"2021-04","269500"
"2021-05","203700"
"2021-06","142600"
"2021-07","118700"
"2021-08","118900"
"2021-09","170500"
"2021-10","180200"
"2021-11","182600"
"2021-12","178400"
"2022-01","186000"
"2022-02","183500"
"2022-03","193300"
"2022-04","142900"
"2022-05","146000"
"2022-06","97700"
"2022-07","80000"
"2022-08","105900"
"2022-09","95600"
