"-","키워드","PC 검색량","모바일 검색량","총조회수","상품수","비율"
"-","수납장","14,500","80,100","94,600","5,461,590","57.734","- (-)"
"-","거실장","7,470","59,500","66,970","1,505,002","22.473","- (-)"
"-","파티션","23,500","70,500","94,000","1,200,879","12.775","- (-)"
"-","식탁","13,300","110,600","123,900","8,193,077","66.127","- (-)"
"-","커튼","16,000","82,500","98,500","4,449,645","45.174","- (-)"
"-","옷장","12,300","77,100","89,400","2,892,550","32.355","- (-)"
"-","침대","28,400","167,600","196,000","12,518,184","63.868","- (-)"
"-","책장","15,900","83,500","99,400","2,156,114","21.691","- (-)"
"-","게이밍의자","16,500","50,000","66,500","336,501","5.060","- (-)"
"-","침대프레임","16,900","94,200","111,100","1,058,147","9.524","- (-)"
"-","모션데스크","8,210","21,600","29,810","55,661","1.867","- (-)"
"-","컴퓨터의자","11,600","26,400","38,000","769,434","20.248","- (-)"
"-","서랍장","14,400","101,000","115,400","2,446,788","21.203","- (-)"
"-","전신거울","10,900","67,200","78,100","623,251","7.980","- (-)"
"-","책상","26,800","112,200","139,000","12,237,263","88.038","- (-)"
"-","앞치마","12,900","101,000","113,900","2,402,666","21.095","- (-)"
"-","식탁의자","9,190","107,700","116,890","2,721,422","23.282","- (-)"
"-","쇼파","17,000","150,300","167,300","8,036,056","48.034","- (-)"
"-","화장대","10,100","85,700","95,800","3,248,988","33.914","- (-)"
"-","행거","19,600","133,600","153,200","5,014,866","32.734","- (-)"
