"period","searchVolume"
"2019-10","201200"
"2019-11","205300"
"2019-12","192200"
"2020-01","209100"
"2020-02","231200"
"2020-03","267300"
"2020-04","239700"
"2020-05","220400"
"2020-06","164700"
"2020-07","156700"
"2020-08","155000"
"2020-09","204900"
"2020-10","240000"
"2020-11","229300"
"2020-12","199800"
"2021-01","226000"
"2021-02","232400"
"2021-03","274900"
"2021-04","228100"
"2021-05","202600"
"2021-06","169300"
"2021-07","148800"
"2021-08","174800"
"2021-09","211000"
"2021-10","225300"
"2021-11","215900"
"2021-12","204300"
"2022-01","206800"
"2022-02","205600"
"2022-03","241600"
"2022-04","216100"
"2022-05","203000"
"2022-06","169800"
"2022-07","145500"
"2022-08","156100"
"2022-09","175600"
