"-","키워드","PC 검색량","모바일 검색량","총조회수","상품수","비율"
"-","원피스","65,300","570,900","636,200","25,066,729","39.401","- (-)"
"-","트위드자켓","2,230","32,400","34,630","927,333","26.778","- (-)"
"-","써스데이아일랜드원피스","3,010","55,100","58,110","15,383","0.265","- (-)"
"-","블라우스","7,260","86,400","93,660","9,127,479","97.453","- (-)"
"-","숏패딩","2,880","31,000","33,880","968,527","28.587","- (-)"
"-","롱원피스","6,860","110,300","117,160","5,657,952","48.293","- (-)"
"-","핸드메이드코트","1,640","12,100","13,740","344,141","25.047","- (-)"
"-","니트원피스","1,530","23,200","24,730","1,731,515","70.017","- (-)"
"-","잠옷","11,800","114,700","126,500","6,795,193","53.717","- (-)"
"-","하객원피스","3,050","31,300","34,350","1,270,246","36.980","- (-)"
"-","지고트원피스","2,680","50,500","53,180","51,887","0.976","- (-)"
"-","여성숏패딩","310","3,630","3,940","648,073","164.486","- (-)"
"-","여성트레이닝세트","2,810","44,400","47,210","553,634","11.727","- (-)"
"-","여성패딩","1,390","12,500","13,890","4,395,612","316.459","- (-)"
"-","몽클레어여성패딩","4,600","87,700","92,300","199,623","2.163","- (-)"
"-","잇미샤원피스","2,860","55,200","58,060","16,889","0.291","- (-)"
"-","써스데이아일랜드","10,500","147,600","158,100","53,280","0.337","- (-)"
"-","코트","4,350","24,800","29,150","12,203,116","418.632","- (-)"
"-","롱패딩","5,050","41,500","46,550","981,471","21.084","- (-)"
"-","모조에스핀원피스","1,730","29,900","31,630","11,846","0.375","- (-)"
