"period","searchVolume"
"2019-10","124600"
"2019-11","320700"
"2019-12","329600"
"2020-01","184100"
"2020-02","79100"
"2020-03","25100"
"2020-04","8360"
"2020-05","5220"
"2020-06","5270"
"2020-07","14600"
"2020-08","35600"
"2020-09","77900"
"2020-10","198700"
"2020-11","336800"
"2020-12","322600"
"2021-01","208300"
"2021-02","88400"
"2021-03","26000"
"2021-04","5280"
"2021-05","4660"
"2021-06","5510"
"2021-07","15200"
"2021-08","42400"
"2021-09","64100"
"2021-10","177100"
"2021-11","305600"
"2021-12","363800"
"2022-01","236400"
"2022-02","125000"
"2022-03","52800"
"2022-04","18800"
"2022-05","11200"
"2022-06","13400"
"2022-07","20200"
"2022-08","47500"
"2022-09","65500"
