"period","searchVolume"
"2019-10","187600"
"2019-11","216400"
"2019-12","185000"
"2020-01","108300"
"2020-02","59300"
"2020-03","38900"
"2020-04","32300"
"2020-05","27900"
"2020-06","27600"
"2020-07","29000"
"2020-08","32000"
"2020-09","93400"
"2020-10","182100"
"2020-11","181200"
"2020-12","122500"
"2021-01","75900"
"2021-02","46900"
"2021-03","35500"
"2021-04","23500"
"2021-05","19000"
"2021-06","16800"
"2021-07","12400"
"2021-08","27000"
"2021-09","72300"
"2021-10","149300"
"2021-11","171200"
"2021-12","137700"
"2022-01","90000"
"2022-02","49100"
"2022-03","35800"
"2022-04","24600"
"2022-05","25900"
"2022-06","24800"
"2022-07","25900"
"2022-08","35100"
"2022-09","60000"
