"period","searchVolume"
"2019-10","256100"
"2019-11","289400"
"2019-12","360800"
"2020-01","514500"
"2020-02","734700"
"2020-03","1024600"
"2020-04","683700"
"2020-05","503000"
"2020-06","307000"
"2020-07","276700"
"2020-08","268500"
"2020-09","424600"
"2020-10","523500"
"2020-11","516100"
"2020-12","669800"
"2021-01","666600"
"2021-02","776400"
"2021-03","830800"
"2021-04","522600"
"2021-05","381100"
"2021-06","238900"
"2021-07","187600"
"2021-08","195400"
"2021-09","280700"
"2021-10","290700"
"2021-11","239600"
"2021-12","218500"
"2022-01","256900"
"2022-02","263300"
"2022-03","279800"
"2022-04","208300"
"2022-05","182800"
"2022-06","115500"
"2022-07","90200"
"2022-08","182900"
"2022-09","150600"
