"period","searchVolume"
"2019-10","44300"
"2019-11","42900"
"2019-12","41100"
"2020-01","48900"
"2020-02","52600"
"2020-03","68500"
"2020-04","80900"
"2020-05","101600"
"2020-06","113200"
"2020-07","121100"
"2020-08","93100"
"2020-09","81600"
"2020-10","57600"
"2020-11","40700"
"2020-12","34600"
"2021-01","38400"
"2021-02","44900"
"2021-03","71000"
"2021-04","90400"
"2021-05","94500"
"2021-06","115000"
"2021-07","119800"
"2021-08","94300"
"2021-09","80200"
"2021-10","67400"
"2021-11","47000"
"2021-12","44000"
"2022-01","45000"
"2022-02","45900"
"2022-03","64500"
"2022-04","84100"
"2022-05","104300"
"2022-06","116200"
"2022-07","109200"
"2022-08","75100"
"2022-09","57200"
