"period","searchVolume"
"2019-10","97800"
"2019-11","180000"
"2019-12","148200"
"2020-01","116600"
"2020-02","84500"
"2020-03","45000"
"2020-04","24000"
"2020-05","14700"
"2020-06","10200"
"2020-07","18000"
"2020-08","28100"
"2020-09","46800"
"2020-10","119300"
"2020-11","179900"
"2020-12","113100"
"2021-01","84500"
"2021-02","70900"
"2021-03","41100"
"2021-04","15400"
"2021-05","23800"
"2021-06","86600"
"2021-07","22700"
"2021-08","27800"
"2021-09","33700"
"2021-10","110800"
"2021-11","144300"
"2021-12","119100"
"2022-01","94900"
"2022-02","69400"
"2022-03","42200"
"2022-04","17200"
"2022-05","11700"
"2022-06","14000"
"2022-07","17100"
"2022-08","24300"
"2022-09","26400"
