"-","키워드","PC 검색량","모바일 검색량","총조회수","상품수","비율"
"-","설화수","14,700","94,800","109,500","65,051","0.594","- (-)"
"-","선크림","20,300","111,500","131,800","787,743","5.977","- (-)"
"-","인셀덤화장품","3,810","76,800","80,610","31,525","0.391","- (-)"
"-","디올립글로우","5,090","74,600","79,690","4,222","0.053","- (-)"
"-","염색약","5,440","52,300","57,740","749,326","12.978","- (-)"
"-","록시땅핸드크림","5,950","61,800","67,750","29,369","0.433","- (-)"
"-","입생로랑쿠션","4,530","66,200","70,730","4,144","0.059","- (-)"
"-","헤어에센스","6,830","76,300","83,130","528,727","6.360","- (-)"
"-","닥터지선크림","3,960","34,900","38,860","18,072","0.465","- (-)"
"-","핸드크림","6,090","31,900","37,990","492,718","12.970","- (-)"
"-","설화수자음2종","3,880","46,900","50,780","4,857","0.096","- (-)"
"-","바디로션","6,750","54,100","60,850","1,097,912","18.043","- (-)"
"-","모다모다블랙샴푸","5,850","88,600","94,450","4,648","0.049","- (-)"
"-","바디워시","8,240","78,800","87,040","1,568,440","18.020","- (-)"
"-","샴푸","13,700","96,600","110,300","4,522,378","41.001","- (-)"
"-","ahc아이크림","4,630","67,400","72,030","22,823","0.317","- (-)"
"-","인셀덤","16,600","172,200","188,800","89,802","0.476","- (-)"
"-","헤라블랙쿠션","8,540","111,900","120,440","3,779","0.031","- (-)"
"-","바디미스트","1,980","16,100","18,080","247,048","13.664","- (-)"
"-","가히멀티밤","11,300","158,800","170,100","23,930","0.141","- (-)"
