"period","searchVolume"
"2019-10","122100"
"2019-11","101500"
"2019-12","61400"
"2020-01","58900"
"2020-02","70600"
"2020-03","37100"
"2020-04","61700"
"2020-05","93200"
"2020-06","82100"
"2020-07","50200"
"2020-08","70700"
"2020-09","53400"
"2020-10","91700"
"2020-11","74200"
"2020-12","28000"
"2021-01","32800"
"2021-02","49200"
"2021-03","69100"
"2021-04","72700"
"2021-05","71600"
"2021-06","44700"
"2021-07","17100"
"2021-08","41300"
"2021-09","74400"
"2021-10","111100"
"2021-11","90800"
"2021-12","40100"
"2022-01","46500"
"2022-02","62200"
"2022-03","73200"
"2022-04","86700"
"2022-05","93500"
"2022-06","64800"
"2022-07","35800"
"2022-08","62500"
"2022-09","82500"
