"period","searchVolume"
"2019-10","35800"
"2019-11","161900"
"2019-12","147300"
"2020-01","63700"
"2020-02","25800"
"2020-03","10200"
"2020-04","4390"
"2020-05","3050"
"2020-06","1190"
"2020-07","2840"
"2020-08","5920"
"2020-09","12000"
"2020-10","55800"
"2020-11","141600"
"2020-12","148000"
"2021-01","74200"
"2021-02","22900"
"2021-03","5400"
"2021-04","1030"
"2021-05","820"
"2021-06","1130"
"2021-07","2440"
"2021-08","6620"
"2021-09","9750"
"2021-10","73500"
"2021-11","186100"
"2021-12","174600"
"2022-01","108200"
"2022-02","47300"
"2022-03","14100"
"2022-04","2220"
"2022-05","2880"
"2022-06","5450"
"2022-07","7490"
"2022-08","12100"
"2022-09","12200"
