"period","searchVolume"
"2019-10","87100"
"2019-11","80700"
"2019-12","65900"
"2020-01","68700"
"2020-02","154400"
"2020-03","98500"
"2020-04","92300"
"2020-05","90400"
"2020-06","62800"
"2020-07","59600"
"2020-08","62200"
"2020-09","87600"
"2020-10","139800"
"2020-11","98500"
"2020-12","72400"
"2021-01","72800"
"2021-02","96900"
"2021-03","174600"
"2021-04","181300"
"2021-05","155900"
"2021-06","111200"
"2021-07","79500"
"2021-08","85100"
"2021-09","126800"
"2021-10","159100"
"2021-11","120400"
"2021-12","98200"
"2022-01","95200"
"2022-02","99400"
"2022-03","242500"
"2022-04","222200"
"2022-05","212700"
"2022-06","210200"
"2022-07","120100"
"2022-08","116700"
"2022-09","173500"
