"-","키워드","PC 검색량","모바일 검색량","총조회수","상품수","비율"
"-","가히","9,460","90,100","99,560","48,429","0.486","- (-)"
"-","바디워시","8,240","78,800","87,040","1,593,384","18.306","- (-)"
"-","바디로션","6,750","54,100","60,850","1,114,214","18.311","- (-)"
"-","헤어에센스","6,830","76,300","83,130","538,589","6.479","- (-)"
"-","모로칸오일","4,740","46,200","50,940","11,628","0.228","- (-)"
"-","모다모다블랙샴푸","5,850","88,600","94,450","4,524","0.048","- (-)"
"-","핸드크림","6,090","31,900","37,990","494,716","13.022","- (-)"
"-","설화수","14,700","94,800","109,500","65,368","0.597","- (-)"
"-","닥터지선크림","3,960","34,900","38,860","19,279","0.496","- (-)"
"-","록시땅핸드크림","5,950","61,800","67,750","29,422","0.434","- (-)"
"-","샴푸","13,700","96,600","110,300","4,612,132","41.814","- (-)"
"-","에스티로더더블웨어파운데이션","3,550","39,500","43,050","24,661","0.573","- (-)"
"-","인셀덤화장품","3,810","76,800","80,610","31,579","0.392","- (-)"
"-","설화수자음2종","3,880","46,900","50,780","4,823","0.095","- (-)"
"-","디올립글로우","5,090","74,600","79,690","4,059","0.051","- (-)"
"-","입생로랑쿠션","4,530","66,200","70,730","4,075","0.058","- (-)"
"-","ahc아이크림","4,630","67,400","72,030","23,902","0.332","- (-)"
"-","인셀덤","16,600","172,200","188,800","89,804","0.476","- (-)"
"-","헤라블랙쿠션","8,540","111,900","120,440","3,783","0.031","- (-)"
"-","가히멀티밤","11,300","158,800","170,100","24,839","0.146","- (-)"
