"period","searchVolume"
"2019-10","169600"
"2019-11","149900"
"2019-12","163600"
"2020-01","240600"
"2020-02","253500"
"2020-03","169700"
"2020-04","126400"
"2020-05","142500"
"2020-06","135200"
"2020-07","141200"
"2020-08","140600"
"2020-09","123800"
"2020-10","135600"
"2020-11","125500"
"2020-12","110900"
"2021-01","156700"
"2021-02","181900"
"2021-03","161100"
"2021-04","132600"
"2021-05","122300"
"2021-06","122500"
"2021-07","112700"
"2021-08","121300"
"2021-09","127200"
"2021-10","141100"
"2021-11","120000"
"2021-12","111800"
"2022-01","147000"
"2022-02","173300"
"2022-03","139600"
"2022-04","129700"
"2022-05","136800"
"2022-06","133400"
"2022-07","132500"
"2022-08","149300"
"2022-09","147700"
