"period","searchVolume"
"2019-10","106100"
"2019-11","79500"
"2019-12","68800"
"2020-01","77800"
"2020-02","87500"
"2020-03","118800"
"2020-04","135000"
"2020-05","168900"
"2020-06","186000"
"2020-07","174400"
"2020-08","129400"
"2020-09","95400"
"2020-10","91800"
"2020-11","65200"
"2020-12","48100"
"2021-01","50000"
"2021-02","67000"
"2021-03","113400"
"2021-04","115100"
"2021-05","115400"
"2021-06","122200"
"2021-07","101200"
"2021-08","71400"
"2021-09","83600"
"2021-10","88900"
"2021-11","55600"
"2021-12","43400"
"2022-01","43300"
"2022-02","50400"
"2022-03","79300"
"2022-04","104100"
"2022-05","114500"
"2022-06","118700"
"2022-07","121200"
"2022-08","82200"
"2022-09","57400"
