"period","searchVolume"
"2019-10","368800"
"2019-11","324600"
"2019-12","371000"
"2020-01","389500"
"2020-02","382400"
"2020-03","435800"
"2020-04","464900"
"2020-05","600200"
"2020-06","719100"
"2020-07","692800"
"2020-08","621200"
"2020-09","402900"
"2020-10","345900"
"2020-11","295500"
"2020-12","272100"
"2021-01","288000"
"2021-02","312000"
"2021-03","448800"
"2021-04","483300"
"2021-05","532800"
"2021-06","655600"
"2021-07","684400"
"2021-08","435500"
"2021-09","378400"
"2021-10","352000"
"2021-11","268300"
"2021-12","249400"
"2022-01","260600"
"2022-02","260400"
"2022-03","406500"
"2022-04","493800"
"2022-05","581400"
"2022-06","649100"
"2022-07","672500"
"2022-08","505500"
"2022-09","350800"
