"period","searchVolume"
"2019-10","190600"
"2019-11","191700"
"2019-12","170300"
"2020-01","177200"
"2020-02","182500"
"2020-03","186000"
"2020-04","183400"
"2020-05","176900"
"2020-06","120900"
"2020-07","117300"
"2020-08","112700"
"2020-09","140800"
"2020-10","157100"
"2020-11","157500"
"2020-12","128800"
"2021-01","134700"
"2021-02","159000"
"2021-03","189700"
"2021-04","168200"
"2021-05","153100"
"2021-06","123900"
"2021-07","98700"
"2021-08","128800"
"2021-09","172700"
"2021-10","171700"
"2021-11","158700"
"2021-12","135100"
"2022-01","147300"
"2022-02","151300"
"2022-03","180300"
"2022-04","168600"
"2022-05","171800"
"2022-06","145300"
"2022-07","125900"
"2022-08","136000"
"2022-09","163300"
