"period","searchVolume"
"2020-07-12","5340"
"2020-07-13","4040"
"2020-07-14","3900"
"2020-07-15","3750"
"2020-07-16","4240"
"2020-07-17","4100"
"2020-07-18","5180"
"2020-07-19","4620"
"2020-07-20","3830"
"2020-07-21","3840"
"2020-07-22","3560"
"2020-07-23","3460"
"2020-07-24","3000"
"2020-07-25","3680"
"2020-07-26","4130"
"2020-07-27","3430"
"2020-07-28","3320"
"2020-07-29","3500"
"2020-07-30","3120"
"2020-07-31","3080"
"2020-08-01","3500"
"2020-08-02","3770"
"2020-08-03","3210"
"2020-08-04","3210"
"2020-08-05","3120"
"2020-08-06","3110"
"2020-08-07","3620"
"2020-08-08","3570"
"2020-08-09","3820"
"2020-08-10","3200"
"2020-08-11","3230"
"2020-08-12","3180"
"2020-08-13","3030"
"2020-08-14","3040"
"2020-08-15","2960"
"2020-08-16","3140"
"2020-08-17","3610"
"2020-08-18","3040"
"2020-08-19","3040"
"2020-08-20","2970"
"2020-08-21","2840"
"2020-08-22","2830"
"2020-08-23","3010"
"2020-08-24","2730"
"2020-08-25","2320"
"2020-08-26","2240"
"2020-08-27","2280"
"2020-08-28","2220"
"2020-08-29","2530"
"2020-08-30","2370"
"2020-08-31","2310"
"2020-09-01","2480"
"2020-09-02","7310"
"2020-09-03","2550"
"2020-09-04","2710"
"2020-09-05","2930"
"2020-09-06","2980"
"2020-09-07","2590"
"2020-09-08","2170"
"2020-09-09","2430"
"2020-09-10","2470"
"2020-09-11","2340"
"2020-09-12","2700"
"2020-09-13","2770"
"2020-09-14","2370"
"2020-09-15","2270"
"2020-09-16","2600"
"2020-09-17","2840"
"2020-09-18","2710"
"2020-09-19","3010"
"2020-09-20","3130"
"2020-09-21","2700"
"2020-09-22","2620"
"2020-09-23","2590"
"2020-09-24","2610"
"2020-09-25","2290"
"2020-09-26","2540"
"2020-09-27","2770"
"2020-09-28","2350"
"2020-09-29","2090"
"2020-09-30","1700"
"2020-10-01","1600"
"2020-10-02","2400"
"2020-10-03","2700"
"2020-10-04","2950"
"2020-10-05","2430"
"2020-10-06","2210"
"2020-10-07","1950"
"2020-10-08","2190"
"2020-10-09","2300"
"2020-10-10","2400"
"2020-10-11","2470"
"2020-10-12","2070"
"2020-10-13","1790"
"2020-10-14","1760"
"2020-10-15","1650"
"2020-10-16","1610"
"2020-10-17","1650"
"2020-10-18","1880"
"2020-10-19","1690"
"2020-10-20","1580"
"2020-10-21","1630"
"2020-10-22","1620"
"2020-10-23","1440"
"2020-10-24","1500"
"2020-10-25","1710"
"2020-10-26","1430"
"2020-10-27","1460"
"2020-10-28","1490"
"2020-10-29","1320"
"2020-10-30","1280"
"2020-10-31","1420"
"2020-11-01","1600"
"2020-11-02","1140"
"2020-11-03","1230"
"2020-11-04","1340"
"2020-11-05","1280"
"2020-11-06","1290"
"2020-11-07","1460"
"2020-11-08","1590"
"2020-11-09","1220"
"2020-11-10","1290"
"2020-11-11","1370"
"2020-11-12","1630"
"2020-11-13","1390"
"2020-11-14","1680"
"2020-11-15","1910"
"2020-11-16","1390"
"2020-11-17","1510"
"2020-11-18","1390"
"2020-11-19","1310"
"2020-11-20","1260"
"2020-11-21","1520"
"2020-11-22","1660"
"2020-11-23","1180"
"2020-11-24","1170"
"2020-11-25","1050"
"2020-11-26","1140"
"2020-11-27","1100"
"2020-11-28","1300"
"2020-11-29","1300"
"2020-11-30","1040"
"2020-12-01","1040"
"2020-12-02","1090"
"2020-12-03","1150"
"2020-12-04","1090"
"2020-12-05","1200"
"2020-12-06","1290"
"2020-12-07","1130"
"2020-12-08","1080"
"2020-12-09","1090"
"2020-12-10","1110"
"2020-12-11","1100"
"2020-12-12","1340"
"2020-12-13","1310"
"2020-12-14","1060"
"2020-12-15","920"
"2020-12-16","1110"
"2020-12-17","1040"
"2020-12-18","1110"
"2020-12-19","1240"
"2020-12-20","1270"
"2020-12-21","1130"
"2020-12-22","1020"
"2020-12-23","960"
"2020-12-24","830"
"2020-12-25","1180"
"2020-12-26","1370"
"2020-12-27","1430"
"2020-12-28","940"
"2020-12-29","1070"
"2020-12-30","1060"
"2020-12-31","850"
"2021-01-01","1190"
"2021-01-02","1500"
"2021-01-03","1340"
"2021-01-04","1190"
"2021-01-05","1140"
"2021-01-06","1170"
"2021-01-07","1000"
"2021-01-08","1060"
"2021-01-09","1220"
"2021-01-10","1290"
"2021-01-11","1000"
"2021-01-12","1010"
"2021-01-13","1200"
"2021-01-14","1250"
"2021-01-15","1140"
"2021-01-16","1400"
"2021-01-17","1270"
