"-","키워드","PC 검색량","모바일 검색량","총조회수","상품수","비율"
"-","서랍장","14,400","101,000","115,400","2,446,800","21.203","- (-)"
"-","옷장","12,300","77,100","89,400","2,892,555","32.355","- (-)"
"-","파티션","23,500","70,500","94,000","1,200,890","12.775","- (-)"
"-","식탁의자","9,190","107,700","116,890","2,721,422","23.282","- (-)"
"-","베개","32,400","202,900","235,300","5,667,045","24.084","- (-)"
"-","암막커튼","17,900","119,300","137,200","559,823","4.080","- (-)"
"-","전신거울","10,900","67,200","78,100","623,263","7.980","- (-)"
"-","책장","15,900","83,500","99,400","2,156,052","21.691","- (-)"
"-","선반","20,000","91,900","111,900","14,094,812","125.959","- (-)"
"-","커튼","16,000","82,500","98,500","4,449,645","45.174","- (-)"
"-","소파","16,400","82,700","99,100","8,036,051","81.090","- (-)"
"-","의자","32,000","117,700","149,700","15,745,108","105.178","- (-)"
"-","게이밍의자","16,500","50,000","66,500","336,501","5.060","- (-)"
"-","침대프레임","16,900","94,200","111,100","1,058,116","9.524","- (-)"
"-","책상","26,800","112,200","139,000","12,237,095","88.037","- (-)"
"-","매트리스","26,300","200,500","226,800","2,325,986","10.256","- (-)"
"-","컴퓨터책상","22,100","71,000","93,100","1,660,652","17.837","- (-)"
"-","침대","28,400","167,600","196,000","12,518,184","63.868","- (-)"
"-","행거","19,600","133,600","153,200","5,014,735","32.733","- (-)"
"-","쇼파","17,000","150,300","167,300","8,036,051","48.034","- (-)"
