"-","키워드","PC 검색량","모바일 검색량","총조회수","상품수","비율"
"-","나이키","633,200","3,192,600","3,825,800","7,106,525","1.858","- (-)"
"-","백팩","16,300","118,000","134,300","8,625,051","64.222","- (-)"
"-","크록스슬리퍼","7,060","94,000","101,060","143,072","1.416","- (-)"
"-","나이키에어맥스97","5,870","74,700","80,570","104,008","1.291","- (-)"
"-","루이비통가방","19,500","351,700","371,200","201,268","0.542","- (-)"
"-","크로스백","13,300","143,300","156,600","12,024,745","76.786","- (-)"
"-","나이키에어맥스","8,240","108,100","116,340","590,797","5.078","- (-)"
"-","뉴발란스운동화","11,300","182,700","194,000","597,360","3.079","- (-)"
"-","셀린느가방","15,700","239,100","254,800","113,568","0.446","- (-)"
"-","스케쳐스운동화","9,500","179,800","189,300","217,138","1.147","- (-)"
"-","나이키데이브레이크","9,660","131,800","141,460","55,737","0.394","- (-)"
"-","뉴발란스327","22,500","137,300","159,800","84,990","0.532","- (-)"
"-","에코백","24,100","211,400","235,500","1,719,374","7.301","- (-)"
"-","카드지갑","20,000","144,300","164,300","5,096,692","31.021","- (-)"
"-","아디다스운동화","12,100","160,800","172,900","1,318,621","7.626","- (-)"
"-","슬리퍼","37,200","269,700","306,900","10,057,378","32.771","- (-)"
"-","나이키에어포스","20,400","245,300","265,700","302,972","1.140","- (-)"
"-","운동화","22,200","157,800","180,000","16,455,676","91.420","- (-)"
"-","나이키운동화","30,800","371,200","402,000","2,683,459","6.675","- (-)"
"-","크록스","77,700","644,200","721,900","614,910","0.852","- (-)"
