"period","searchVolume"
"2019-10","97300"
"2019-11","63600"
"2019-12","65200"
"2020-01","80200"
"2020-02","122400"
"2020-03","160500"
"2020-04","164900"
"2020-05","200600"
"2020-06","186000"
"2020-07","168500"
"2020-08","146500"
"2020-09","127200"
"2020-10","82100"
"2020-11","52800"
"2020-12","43300"
"2021-01","59100"
"2021-02","88000"
"2021-03","150200"
"2021-04","145900"
"2021-05","137100"
"2021-06","143200"
"2021-07","116600"
"2021-08","88900"
"2021-09","102600"
"2021-10","80200"
"2021-11","40300"
"2021-12","35100"
"2022-01","45700"
"2022-02","61800"
"2022-03","105600"
"2022-04","126900"
"2022-05","128800"
"2022-06","118700"
"2022-07","111600"
"2022-08","91100"
"2022-09","92800"
