"period","searchVolume"
"2019-10","24400"
"2019-11","20700"
"2019-12","20800"
"2020-01","21700"
"2020-02","26400"
"2020-03","23600"
"2020-04","27900"
"2020-05","32500"
"2020-06","36700"
"2020-07","32400"
"2020-08","29900"
"2020-09","23500"
"2020-10","24800"
"2020-11","23800"
"2020-12","14900"
"2021-01","15900"
"2021-02","19700"
"2021-03","28200"
"2021-04","30800"
"2021-05","32900"
"2021-06","34600"
"2021-07","30300"
"2021-08","28500"
"2021-09","38900"
"2021-10","45700"
"2021-11","39500"
"2021-12","21400"
"2022-01","27500"
"2022-02","31600"
"2022-03","41700"
"2022-04","46400"
"2022-05","56300"
"2022-06","52200"
"2022-07","47000"
"2022-08","46700"
"2022-09","50200"
