"period","searchVolume"
"2019-10","92500"
"2019-11","97600"
"2019-12","88600"
"2020-01","98400"
"2020-02","91200"
"2020-03","103300"
"2020-04","86600"
"2020-05","62900"
"2020-06","33900"
"2020-07","29600"
"2020-08","35300"
"2020-09","62600"
"2020-10","99700"
"2020-11","116000"
"2020-12","124500"
"2021-01","119600"
"2021-02","131600"
"2021-03","140100"
"2021-04","114700"
"2021-05","95000"
"2021-06","67900"
"2021-07","57500"
"2021-08","77300"
"2021-09","137400"
"2021-10","163400"
"2021-11","157600"
"2021-12","140800"
"2022-01","155900"
"2022-02","152600"
"2022-03","173100"
"2022-04","139300"
"2022-05","124100"
"2022-06","98600"
"2022-07","80700"
"2022-08","106400"
"2022-09","169700"
