"period","searchVolume"
"2019-10","76700"
"2019-11","96500"
"2019-12","92500"
"2020-01","107300"
"2020-02","116200"
"2020-03","107300"
"2020-04","81800"
"2020-05","79800"
"2020-06","57500"
"2020-07","65200"
"2020-08","85800"
"2020-09","85100"
"2020-10","101900"
"2020-11","130000"
"2020-12","151000"
"2021-01","192500"
"2021-02","226600"
"2021-03","231400"
"2021-04","201600"
"2021-05","192300"
"2021-06","146000"
"2021-07","140400"
"2021-08","178300"
"2021-09","293800"
"2021-10","290400"
"2021-11","289300"
"2021-12","307700"
"2022-01","405200"
"2022-02","419200"
"2022-03","380300"
"2022-04","306200"
"2022-05","254000"
"2022-06","191600"
"2022-07","175500"
"2022-08","221900"
"2022-09","270200"
