"period","searchVolume"
"2019-10","138100"
"2019-11","128600"
"2019-12","136300"
"2020-01","160400"
"2020-02","151400"
"2020-03","157000"
"2020-04","149200"
"2020-05","167500"
"2020-06","165100"
"2020-07","154900"
"2020-08","155500"
"2020-09","137300"
"2020-10","143900"
"2020-11","128000"
"2020-12","99100"
"2021-01","102800"
"2021-02","121300"
"2021-03","150000"
"2021-04","143300"
"2021-05","146700"
"2021-06","150500"
"2021-07","143300"
"2021-08","133400"
"2021-09","141100"
"2021-10","150800"
"2021-11","123500"
"2021-12","111700"
"2022-01","120800"
"2022-02","118900"
"2022-03","129600"
"2022-04","145400"
"2022-05","167900"
"2022-06","148200"
"2022-07","140600"
"2022-08","131600"
"2022-09","132800"
