"period","searchVolume"
"2019-10","319200"
"2019-11","219900"
"2019-12","171700"
"2020-01","164000"
"2020-02","166500"
"2020-03","179600"
"2020-04","131500"
"2020-05","40100"
"2020-06","16100"
"2020-07","24200"
"2020-08","48900"
"2020-09","284500"
"2020-10","331200"
"2020-11","222600"
"2020-12","158500"
"2021-01","134500"
"2021-02","133700"
"2021-03","163600"
"2021-04","93900"
"2021-05","40300"
"2021-06","18900"
"2021-07","19700"
"2021-08","90300"
"2021-09","225900"
"2021-10","308100"
"2021-11","214500"
"2021-12","161600"
"2022-01","132200"
"2022-02","122700"
"2022-03","143000"
"2022-04","80300"
"2022-05","34500"
"2022-06","25100"
"2022-07","25300"
"2022-08","80100"
"2022-09","187300"
