"period","searchVolume"
"2019-10","107200"
"2019-11","106200"
"2019-12","118200"
"2020-01","138500"
"2020-02","135800"
"2020-03","119000"
"2020-04","105600"
"2020-05","104400"
"2020-06","99500"
"2020-07","143100"
"2020-08","121000"
"2020-09","135400"
"2020-10","165500"
"2020-11","156100"
"2020-12","157100"
"2021-01","175700"
"2021-02","182500"
"2021-03","226400"
"2021-04","228800"
"2021-05","212700"
"2021-06","194900"
"2021-07","183100"
"2021-08","212100"
"2021-09","266900"
"2021-10","306900"
"2021-11","293500"
"2021-12","287300"
"2022-01","349000"
"2022-02","311300"
"2022-03","303300"
"2022-04","256200"
"2022-05","235800"
"2022-06","224800"
"2022-07","207100"
"2022-08","286100"
"2022-09","266900"
