"-","키워드","PC 검색량","모바일 검색량","총조회수","상품수","비율"
"-","남자경량패딩","1,800","10,700","12,500","519,285","41.543","- (-)"
"-","나이키바람막이","5,290","64,400","69,690","90,241","1.295","- (-)"
"-","바람막이","18,100","160,800","178,900","3,341,011","18.675","- (-)"
"-","남자맨투맨","480","2,560","3,040","3,388,948","1114.786","- (-)"
"-","남자조거팬츠","3,760","35,200","38,960","1,937,332","49.726","- (-)"
"-","후드티","2,370","22,200","24,570","7,185,049","292.432","- (-)"
"-","남자패딩","1,510","11,000","12,510","3,557,565","284.378","- (-)"
"-","나이키반바지","2,370","20,700","23,070","325,027","14.089","- (-)"
"-","남자반바지","2,040","14,900","16,940","3,500,899","206.665","- (-)"
"-","롱패딩","5,050","41,500","46,550","981,172","21.078","- (-)"
"-","맨투맨","3,610","26,200","29,810","7,815,704","262.184","- (-)"
"-","남자가디건","2,390","16,100","18,490","1,423,571","76.991","- (-)"
"-","남자청바지","5,750","39,800","45,550","4,137,417","90.832","- (-)"
"-","남성트레이닝세트","3,180","26,100","29,280","388,813","13.279","- (-)"
"-","패딩조끼","2,190","16,700","18,890","1,220,653","64.619","- (-)"
"-","내셔널지오그래픽패딩","7,570","105,900","113,470","14,224","0.125","- (-)"
"-","남자롱패딩","1,180","7,750","8,930","258,080","28.900","- (-)"
"-","남자코트","4,000","20,100","24,100","3,356,341","139.267","- (-)"
"-","스톤아일랜드","19,500","169,600","189,100","1,142,390","6.041","- (-)"
"-","cp컴퍼니","6,800","75,900","82,700","515,275","6.231","- (-)"
