"period","searchVolume"
"2019-10","139400"
"2019-11","148500"
"2019-12","172600"
"2020-01","136200"
"2020-02","156800"
"2020-03","259000"
"2020-04","240900"
"2020-05","222200"
"2020-06","168500"
"2020-07","144200"
"2020-08","158900"
"2020-09","229200"
"2020-10","268900"
"2020-11","217100"
"2020-12","326200"
"2021-01","235300"
"2021-02","166200"
"2021-03","170500"
"2021-04","158400"
"2021-05","155700"
"2021-06","134200"
"2021-07","143400"
"2021-08","129000"
"2021-09","148200"
"2021-10","209100"
"2021-11","184600"
"2021-12","197500"
"2022-01","156400"
"2022-02","151600"
"2022-03","156200"
"2022-04","146000"
"2022-05","131400"
"2022-06","130600"
"2022-07","125700"
"2022-08","111700"
"2022-09","115400"
