"period","searchVolume"
"2019-10","205000"
"2019-11","160800"
"2019-12","147500"
"2020-01","164900"
"2020-02","186100"
"2020-03","207800"
"2020-04","211900"
"2020-05","269400"
"2020-06","287100"
"2020-07","263900"
"2020-08","230400"
"2020-09","176500"
"2020-10","157300"
"2020-11","136600"
"2020-12","108200"
"2021-01","128000"
"2021-02","155100"
"2021-03","221300"
"2021-04","220900"
"2021-05","225100"
"2021-06","251100"
"2021-07","222500"
"2021-08","195100"
"2021-09","179800"
"2021-10","182900"
"2021-11","135500"
"2021-12","117200"
"2022-01","134100"
"2022-02","152900"
"2022-03","189200"
"2022-04","212100"
"2022-05","247300"
"2022-06","240300"
"2022-07","246000"
"2022-08","195000"
"2022-09","171600"
