"period","searchVolume"
"2019-10","357700"
"2019-11","214300"
"2019-12","182000"
"2020-01","183300"
"2020-02","189500"
"2020-03","226000"
"2020-04","191300"
"2020-05","65000"
"2020-06","27200"
"2020-07","33600"
"2020-08","64500"
"2020-09","332300"
"2020-10","360500"
"2020-11","212200"
"2020-12","166000"
"2021-01","148000"
"2021-02","154200"
"2021-03","199700"
"2021-04","132100"
"2021-05","62800"
"2021-06","29300"
"2021-07","26800"
"2021-08","98700"
"2021-09","248800"
"2021-10","296900"
"2021-11","183200"
"2021-12","135100"
"2022-01","114600"
"2022-02","115300"
"2022-03","248300"
"2022-04","124500"
"2022-05","52600"
"2022-06","38100"
"2022-07","30700"
"2022-08","82200"
"2022-09","200900"
