"period","searchVolume"
"2019-10","145200"
"2019-11","272800"
"2019-12","164500"
"2020-01","118600"
"2020-02","85500"
"2020-03","38900"
"2020-04","8780"
"2020-05","4080"
"2020-06","2640"
"2020-07","6530"
"2020-08","16200"
"2020-09","37600"
"2020-10","172900"
"2020-11","250000"
"2020-12","110500"
"2021-01","71200"
"2021-02","62000"
"2021-03","27700"
"2021-04","2460"
"2021-05","1550"
"2021-06","2230"
"2021-07","4660"
"2021-08","12300"
"2021-09","18100"
"2021-10","104800"
"2021-11","165000"
"2021-12","98800"
"2022-01","67600"
"2022-02","48800"
"2022-03","33800"
"2022-04","22500"
"2022-05","8100"
"2022-06","6550"
"2022-07","8200"
"2022-08","12300"
"2022-09","15900"
