"period","searchVolume"
"2019-10","0"
"2019-11","0"
"2019-12","0"
"2020-01","240"
"2020-02","200"
"2020-03","2670"
"2020-04","18400"
"2020-05","141900"
"2020-06","132700"
"2020-07","127200"
"2020-08","515000"
"2020-09","498500"
"2020-10","429400"
"2020-11","357700"
"2020-12","323100"
"2021-01","549100"
"2021-02","516500"
"2021-03","452200"
"2021-04","307400"
"2021-05","286100"
"2021-06","163300"
"2021-07","130300"
"2021-08","203500"
"2021-09","319500"
"2021-10","337700"
"2021-11","344200"
"2021-12","283000"
"2022-01","323800"
"2022-02","287600"
"2022-03","307100"
"2022-04","214100"
"2022-05","159300"
"2022-06","108700"
"2022-07","75400"
"2022-08","89100"
"2022-09","153000"
