"period","searchVolume"
"2019-10","284400"
"2019-11","298900"
"2019-12","359600"
"2020-01","388900"
"2020-02","303800"
"2020-03","259600"
"2020-04","247000"
"2020-05","235700"
"2020-06","229600"
"2020-07","231700"
"2020-08","244500"
"2020-09","259400"
"2020-10","293300"
"2020-11","343900"
"2020-12","348900"
"2021-01","356800"
"2021-02","376800"
"2021-03","442600"
"2021-04","428700"
"2021-05","396500"
"2021-06","357200"
"2021-07","312700"
"2021-08","326400"
"2021-09","397400"
"2021-10","443700"
"2021-11","394400"
"2021-12","427200"
"2022-01","441000"
"2022-02","389200"
"2022-03","369900"
"2022-04","359100"
"2022-05","375600"
"2022-06","341300"
"2022-07","322000"
"2022-08","366700"
"2022-09","367100"
