"period","searchVolume"
"2019-10","176800"
"2019-11","48300"
"2019-12","32700"
"2020-01","77300"
"2020-02","183400"
"2020-03","415900"
"2020-04","524300"
"2020-05","413200"
"2020-06","136100"
"2020-07","166400"
"2020-08","171200"
"2020-09","483700"
"2020-10","258500"
"2020-11","56900"
"2020-12","37500"
"2021-01","66800"
"2021-02","135400"
"2021-03","236400"
"2021-04","200700"
"2021-05","159600"
"2021-06","74800"
"2021-07","39200"
"2021-08","105800"
"2021-09","291700"
"2021-10","205700"
"2021-11","48500"
"2021-12","24400"
"2022-01","44700"
"2022-02","85800"
"2022-03","239000"
"2022-04","302400"
"2022-05","222000"
"2022-06","117700"
"2022-07","54600"
"2022-08","133500"
"2022-09","239000"
