"period","searchVolume"
"2019-10","217100"
"2019-11","653100"
"2019-12","368800"
"2020-01","213200"
"2020-02","92200"
"2020-03","30900"
"2020-04","10500"
"2020-05","6810"
"2020-06","5740"
"2020-07","15000"
"2020-08","41400"
"2020-09","88600"
"2020-10","304100"
"2020-11","726500"
"2020-12","283100"
"2021-01","119300"
"2021-02","54200"
"2021-03","15200"
"2021-04","3300"
"2021-05","3310"
"2021-06","4860"
"2021-07","10600"
"2021-08","30200"
"2021-09","43700"
"2021-10","295200"
"2021-11","626000"
"2021-12","358500"
"2022-01","170500"
"2022-02","85900"
"2022-03","25600"
"2022-04","4350"
"2022-05","5510"
"2022-06","8840"
"2022-07","13100"
"2022-08","28600"
"2022-09","36900"
