"period","searchVolume"
"2019-10","47700"
"2019-11","40400"
"2019-12","31100"
"2020-01","49400"
"2020-02","76300"
"2020-03","104900"
"2020-04","135900"
"2020-05","214500"
"2020-06","192700"
"2020-07","158800"
"2020-08","140000"
"2020-09","78300"
"2020-10","61800"
"2020-11","36000"
"2020-12","23400"
"2021-01","37700"
"2021-02","85600"
"2021-03","146900"
"2021-04","190100"
"2021-05","238100"
"2021-06","231600"
"2021-07","190000"
"2021-08","117400"
"2021-09","99800"
"2021-10","120600"
"2021-11","78300"
"2021-12","41000"
"2022-01","41700"
"2022-02","80200"
"2022-03","155100"
"2022-04","237600"
"2022-05","277500"
"2022-06","290600"
"2022-07","301200"
"2022-08","227200"
"2022-09","105800"
