"period","searchVolume"
"2019-10","100700"
"2019-11","74100"
"2019-12","63000"
"2020-01","80800"
"2020-02","79200"
"2020-03","126000"
"2020-04","132500"
"2020-05","92500"
"2020-06","56000"
"2020-07","48900"
"2020-08","41500"
"2020-09","105600"
"2020-10","163300"
"2020-11","124000"
"2020-12","106200"
"2021-01","106500"
"2021-02","121400"
"2021-03","162200"
"2021-04","125700"
"2021-05","89300"
"2021-06","62600"
"2021-07","48400"
"2021-08","50100"
"2021-09","104100"
"2021-10","151500"
"2021-11","128300"
"2021-12","88300"
"2022-01","89600"
"2022-02","80200"
"2022-03","122000"
"2022-04","109400"
"2022-05","80200"
"2022-06","57100"
"2022-07","52000"
"2022-08","48500"
"2022-09","79000"
