"period","searchVolume"
"2019-10","213600"
"2019-11","251000"
"2019-12","256700"
"2020-01","199800"
"2020-02","236900"
"2020-03","366700"
"2020-04","616500"
"2020-05","1021500"
"2020-06","1148600"
"2020-07","968000"
"2020-08","796100"
"2020-09","349200"
"2020-10","380200"
"2020-11","529500"
"2020-12","445700"
"2021-01","311200"
"2021-02","334400"
"2021-03","640300"
"2021-04","882600"
"2021-05","1161400"
"2021-06","1268200"
"2021-07","1262900"
"2021-08","721500"
"2021-09","522700"
"2021-10","642400"
"2021-11","655500"
"2021-12","497900"
"2022-01","375500"
"2022-02","426600"
"2022-03","741000"
"2022-04","1115200"
"2022-05","1428300"
"2022-06","1522900"
"2022-07","1694500"
"2022-08","1178800"
"2022-09","622300"
