"period","searchVolume"
"2019-10","177800"
"2019-11","199600"
"2019-12","202000"
"2020-01","224500"
"2020-02","203300"
"2020-03","196500"
"2020-04","189700"
"2020-05","179000"
"2020-06","123200"
"2020-07","113900"
"2020-08","136500"
"2020-09","133600"
"2020-10","151800"
"2020-11","149300"
"2020-12","133900"
"2021-01","159500"
"2021-02","181100"
"2021-03","182100"
"2021-04","141100"
"2021-05","116500"
"2021-06","88500"
"2021-07","81500"
"2021-08","109200"
"2021-09","152200"
"2021-10","173400"
"2021-11","159000"
"2021-12","155300"
"2022-01","178900"
"2022-02","165300"
"2022-03","182300"
"2022-04","149800"
"2022-05","140300"
"2022-06","109200"
"2022-07","88700"
"2022-08","92700"
"2022-09","114700"
