"period","searchVolume"
"2019-10","159500"
"2019-11","149300"
"2019-12","178700"
"2020-01","219000"
"2020-02","212100"
"2020-03","220600"
"2020-04","213400"
"2020-05","228300"
"2020-06","225500"
"2020-07","239700"
"2020-08","253200"
"2020-09","235600"
"2020-10","227600"
"2020-11","219700"
"2020-12","228800"
"2021-01","215000"
"2021-02","214400"
"2021-03","213000"
"2021-04","200600"
"2021-05","196700"
"2021-06","181800"
"2021-07","184800"
"2021-08","195000"
"2021-09","197500"
"2021-10","192300"
"2021-11","169500"
"2021-12","183300"
"2022-01","200300"
"2022-02","188500"
"2022-03","184500"
"2022-04","170800"
"2022-05","173000"
"2022-06","164300"
"2022-07","170400"
"2022-08","188400"
"2022-09","162700"
