"period","searchVolume"
"2019-10","29400"
"2019-11","313500"
"2019-12","271100"
"2020-01","182000"
"2020-02","83600"
"2020-03","23300"
"2020-04","3330"
"2020-05","2270"
"2020-06","230"
"2020-07","910"
"2020-08","1850"
"2020-09","4440"
"2020-10","41900"
"2020-11","286000"
"2020-12","214100"
"2021-01","123000"
"2021-02","58500"
"2021-03","14200"
"2021-04","450"
"2021-05","200"
"2021-06","270"
"2021-07","730"
"2021-08","2420"
"2021-09","5270"
"2021-10","63900"
"2021-11","190200"
"2021-12","199000"
"2022-01","140000"
"2022-02","74800"
"2022-03","23300"
"2022-04","1540"
"2022-05","1920"
"2022-06","4100"
"2022-07","5030"
"2022-08","6740"
"2022-09","3580"
