"period","searchVolume"
"2019-10","459500"
"2019-11","485600"
"2019-12","427100"
"2020-01","443500"
"2020-02","473200"
"2020-03","546700"
"2020-04","541500"
"2020-05","555200"
"2020-06","370400"
"2020-07","352600"
"2020-08","324000"
"2020-09","456400"
"2020-10","544000"
"2020-11","498200"
"2020-12","436200"
"2021-01","472400"
"2021-02","543800"
"2021-03","618300"
"2021-04","536900"
"2021-05","495100"
"2021-06","408700"
"2021-07","355000"
"2021-08","392700"
"2021-09","503200"
"2021-10","539000"
"2021-11","502200"
"2021-12","442300"
"2022-01","496100"
"2022-02","486900"
"2022-03","559100"
"2022-04","513000"
"2022-05","467700"
"2022-06","373400"
"2022-07","316100"
"2022-08","325200"
"2022-09","411000"
