"period","searchVolume"
"2019-10","2481100"
"2019-11","4042500"
"2019-12","2735900"
"2020-01","2502800"
"2020-02","2945900"
"2020-03","3209200"
"2020-04","3896200"
"2020-05","3513800"
"2020-06","2569900"
"2020-07","3273600"
"2020-08","2619300"
"2020-09","3035500"
"2020-10","3225300"
"2020-11","5066300"
"2020-12","4384300"
"2021-01","3256700"
"2021-02","3661800"
"2021-03","3771200"
"2021-04","4371100"
"2021-05","3813700"
"2021-06","2908000"
"2021-07","3278700"
"2021-08","4050600"
"2021-09","3526800"
"2021-10","3691700"
"2021-11","3863300"
"2021-12","3132400"
"2022-01","4102700"
"2022-02","4139900"
"2022-03","4477500"
"2022-04","4063700"
"2022-05","5446900"
"2022-06","3342400"
"2022-07","3233900"
"2022-08","4000900"
"2022-09","3265700"
